Name,Age,Gender,From,Real Time Position,Industry,Company
Jeff Bezos,54,Male,United States,1.0,Technology ,Amazon
Bill Gates,62,Male,United States,2.0,Technology ,Microsoft
Warren Buffett,87,Male,United States,3.0,Finance and Investments ,Berkshire hathaway
Bernard Arnault,69,Male,United States,4.0,Fashion & Retail ,Lvmh
Mark Zuckerberg,33,Male,United States,5.0,Technology ,Facebook
Amancio Ortega,82,Male,United States,6.0,Fashion & Retail ,Zara
Carlos Slim helu,78,Male,United States,7.0,Telecom ,Telecom
Charles Koch,82,Male,United States,12.0,Diversified ,Koch industries
David Koch,78,Male,United States,13.0,Diversified ,Koch industries
Larry Ellison,73,Male,United States,8.0,Technology ,Software
Michael Bloomberg,76,Male,United States,11.0,Media & Entertainment ,Bloomberg lp
Larry Page,45,Male,United States,9.0,Technology ,Google
Sergey Brin,44,Male,United States,10.0,Technology ,Google
Jim Walton,70,Male,United States,19.0,Fashion & Retail ,Walmart
S. Walton,73,Male,United States,20.0,Fashion & Retail ,Walmart
Alice Walton,68,Female,United States,21.0,Fashion & Retail ,Walmart
Ma Ma,46,Female,China,15.0,Technology ,Internet media
Francoise Bettencourt meyers,64,Female,China,14.0,Fashion & Retail ,L'oreal
Mukesh Ambani,61,Male,China,17.0,Energy ,"Petrochemicals, oil & gas"
Jack Ma,53,Male,China,18.0,Technology ,E-commerce
Sheldon Adelson,84,Male,United States,16.0,Gambling & Casinos ,Casinos
Steve Ballmer,62,Male,United States,22.0,Technology ,Microsoft
Li Li,90,Male,United States,24.0,Diversified ,Diversified
Hui Hui,59,Male,People'S Republic Of China,26.0,Real Estate ,Real estate
Lee Lee,90,Male,People'S Republic Of China,28.0,Real Estate ,Real estate
Wang Wang,63,Male,People'S Republic Of China,27.0,Real Estate ,Real estate
Beate Albrecht jr.,66,NaN,People'S Republic Of China,29.0,Fashion & Retail ,Supermarkets
Phil Knight,80,Male,United States,25.0,Fashion & Retail ,Nike
Jorge Lemann,78,Male,Brazil,30.0,Food and Beverage ,Beer
Francois Pinault,81,Male,Brazil,23.0,Fashion & Retail ,Luxury goods
Georg Schaeffler,53,Male,Brazil,40.0,Automotive ,Auto parts
Susanne Klatten,56,Female,Brazil,38.0,Automotive ,"Bmw, pharmaceuticals"
David Thomson,61,Male,Brazil,32.0,Media & Entertainment ,Media
Jacqueline Mars,78,Male,United States,34.0,Food and Beverage ,"Candy, pet food"
John Mars,82,Male,United States,35.0,Food and Beverage ,"Candy, pet food"
Joseph Safra,79,Male,Brazil,53.0,Finance and Investments ,Banking
Giovanni Ferrero,53,Male,Brazil,43.0,Food and Beverage ,"Nutella, chocolates"
Dietrich Mateschitz,74,Male,Brazil,33.0,Food and Beverage ,Red bull
Michael Dell,53,Male,Brazil,36.0,Technology ,Dell computers
Masayoshi Son,60,Male,Brazil,42.0,Telecom ,"Internet, telecom"
Serge Dassault,93,Male,Brazil,42.0,Diversified ,Diversified
Stefan Quandt,52,Male,Germany,51.0,Automotive ,Bmw
Yang Yang,35,Female,China,31.0,Real Estate ,Real estate
Paul Allen,65,Male,United States,49.0,Technology ,"Microsoft, investments"
